MATCH_DATE,HOME_TEAM,AWAY_TEAM,A Win,B Win,Home Win,H_PLUS_MINUS_LS,A_PLUS_MINUS_LS,H_AVG_ODDS_L5,H_PLUS_MINUS_L5,A_PLUS_MINUS_L5,A_AVG_ODDS_L5,LS_PPG_DIFF,LS_FGPCT_DIFF,LS_FTPCT_DIFF,LS_TPPCT_DIFF,LS_OFF_REB_DIFF,LS_ASSIST_DIFF,LS_STEALS_DIFF,LS_TURNOVERS_DIFF,LS_BLOCKS_DIFF,L5_PPG_DIFF,L5_FGPCT_DIFF,L5_FTPCT_DIFF,L5_TPPCT_DIFF,L5_OFF_REB_DIFF,L5_ASSIST_DIFF,L5_STEALS_DIFF,L5_TURNOVERS_DIFF,L5_BLOCKS_DIFF
2016-10-31,Toronto Raptors,Denver Nuggets,1.34,3.30,1,-5.97,-2.03,116,2.00,-4.00,127,0.11,0.03,0.01,0.05,2.35,-0.90,1.13,4.06,0.12,-1.80,2.00,8.20,-4.40,-2.00,-9.40,-1.20,-5.60,-3.40
2016-10-31,Brooklyn Nets,Chicago Bulls,3.05,1.41,0,-7.23,2.46,133,-3.20,-2.40,29,-3.44,0.10,0.10,0.06,1.83,1.41,0.52,3.03,-0.95,0.20,-4.00,-8.60,1.20,3.40,-2.60,1.80,1.40,-0.80
2016-10-31,Atlanta Hawks,Sacramento Kings,1.32,3.50,1,2.84,-1.16,-93,9.00,-3.00,557,0.05,-0.06,-0.06,-0.04,-2.16,1.44,0.57,0.86,1.05,2.60,1.60,14.20,4.20,-1.20,2.40,1.80,1.00,2.20
2016-11-01,LA Clippers,Phoenix Suns,1.09,8.50,1,4.28,-2.27,-297,14.00,0.60,474,6.17,0.07,-0.08,0.05,-1.57,2.21,2.82,0.13,-0.11,-5.20,2.40,-6.80,3.20,-2.20,-1.20,-1.20,-9.40,1.80
2016-11-01,Cleveland Cavaliers,Houston Rockets,1.19,5.20,1,-1.66,8.65,-328,13.60,-13.20,232,-11.02,0.06,0.20,0.05,1.36,-5.01,-2.18,-1.31,-0.43,13.80,6.00,1.20,3.80,0.60,1.20,1.40,-7.00,2.20
2016-11-01,Philadelphia 76ers,Orlando Magic,2.72,1.50,0,-3.79,-4.08,161,-6.40,-14.20,286,0.93,-0.01,-0.01,0.02,-0.39,-1.48,-0.19,-1.34,-0.30,-0.80,-5.00,2.80,-0.20,1.20,0.40,0.60,-2.40,2.20
2016-11-01,Indiana Pacers,Los Angeles Lakers,1.22,4.55,1,1.71,-0.88,-271,8.00,-17.00,634,-3.65,0.08,0.19,0.07,-1.54,-0.77,-0.98,-0.65,-0.34,8.40,7.20,-3.00,2.60,0.60,4.60,-0.40,-2.00,1.80
2016-11-01,Miami Heat,Sacramento Kings,1.61,2.45,1,3.52,-1.16,-55,0.40,-2.80,437,1.84,-0.02,-0.10,-0.01,-1.63,-0.87,0.37,-1.18,0.43,-6.20,-1.80,11.40,-7.60,-1.60,-8.80,-2.60,-3.20,-1.80
2016-11-01,Detroit Pistons,New York Knicks,1.59,2.50,1,-2.58,1.72,4,4.60,-8.80,151,2.42,0.04,0.14,0.06,1.69,2.31,0.96,1.11,-1.60,4.20,3.80,-5.00,2.60,1.40,0.60,-0.60,-3.60,-2.20
2016-11-02,New Orleans Pelicans,Milwaukee Bucks,1.61,2.45,0,-2.33,-8.89,144,-6.20,-9.80,227,0.04,0.01,-0.03,0.00,0.46,2.21,1.46,0.11,0.11,10.60,0.80,2.20,5.20,-1.00,4.80,1.00,-5.40,-3.00
2016-11-02,Minnesota Timberwolves,Memphis Grizzlies,1.29,3.85,1,-3.54,1.89,-66,-2.80,-22.40,1293,0.90,0.09,0.16,0.05,-0.37,2.54,-0.90,0.94,-0.47,18.60,7.80,9.40,0.00,-3.40,7.40,1.00,1.20,1.60
2016-11-02,San Antonio Spurs,Utah Jazz,1.17,5.35,0,-10.13,0.53,-2586,14.40,0.80,-76,-7.78,0.03,0.04,0.00,-2.10,-0.03,1.62,1.87,1.44,5.60,0.60,0.80,9.80,-0.60,1.40,-0.60,-2.00,2.60
