FIGHTER_A,FIGHTER_B,Result,A Win,B Win,A_WIN_DIFF,A_FINISH_DIFF,A_AVG_ODDS,A_CUMULATIVE_RDS,A_STR_ACCURACY_DIFF,A_AVG_TD_ACCURACY,A_AVG_TD_DEFENCE,A_CTRL_TIME_DIFF,A_KD_PER_RD_DIFF,A_STR_PER_RD_DIFF,A_STR_ATTEMPT_PER_RD_DIFF,A_TD_PER_RD_DIFF,A_TD_ATTEMPT_PER_RD_DIFF,A_SUB_ATTEMPT_PER_RD_DIFF,B_WIN_DIFF,B_FINISH_DIFF,B_AVG_ODDS,B_CUMULATIVE_RDS,B_STR_ACCURACY_DIFF,B_AVG_TD_ACCURACY,B_AVG_TD_DEFENCE,B_CTRL_TIME_DIFF,B_KD_PER_RD_DIFF,B_STR_PER_RD_DIFF,B_STR_ATTEMPT_PER_RD_DIFF,B_TD_PER_RD_DIFF,B_TD_ATTEMPT_PER_RD_DIFF,B_SUB_ATTEMPT_PER_RD_DIFF,A_HEIGHT_DIFF,A_REACH_DIFF,A_AGE_DIFF,A_CUMULATIVE_RDS_DIFF
Jim Wallhead,Luan Chagas,0,3.2,1.38,-1,0,1.77,3.00,-0.06,0.00,1.00,0.03,0.33,-7.67,-12.33,0.00,-1.00,0.00,-2.00,-1.00,3.06,6.00,-0.09,0.13,1.00,-0.12,0.33,0.67,7.67,0.17,0.17,-0.50,-2,-75,9,-3.00
Max Holloway,Jose Aldo,1,2.25,1.69,10,7,1.98,40.00,0.09,0.19,0.83,-0.07,0.18,9.00,7.63,-0.30,-2.25,0.10,7.00,1.00,1.48,36.00,0.03,0.26,0.89,0.02,0.06,2.94,-1.53,0.17,-1.31,0.08,4,-1,-5,4.00
Jessin Ayari,Darren Till,0,3.35,1.36,1,0,2.10,3.00,0.06,0.00,1.00,-0.03,-0.33,7.67,12.33,0.00,1.00,0.00,0.00,1.00,1.90,5.00,0.05,0.00,0.75,-0.17,0.20,-6.40,-16.00,-0.40,-0.40,0.00,0,-1,0,-2.00
Jack Hermansson,Alex Nicholson,1,1.61,2.45,0,-1,1.82,5.00,0.08,0.08,0.50,-0.04,0.00,11.00,13.80,0.00,0.40,-0.60,-1.00,0.00,3.75,6.00,-0.11,0.00,0.50,-0.31,0.00,1.17,7.17,-0.67,-1.50,-0.33,-3,0,2,-1.00
Joaquim Silva,Reza Madadi,1,1.65,2.35,2,1,2.10,4.00,0.02,0.00,0.84,0.02,0.25,-1.25,0.25,-0.25,-0.50,0.00,0.00,3.00,2.89,17.00,0.21,0.43,0.96,0.08,-0.06,-3.41,-19.76,0.71,1.41,0.18,-3,-4,-11,-13.00
Omari Akhmedov,Abdul Razak Alhassan,1,3.35,1.36,1,-1,1.96,15.00,-0.05,0.42,0.60,0.03,0.00,1.00,9.13,0.40,0.80,-0.20,1.00,1.00,1.30,1.00,0.40,0.00,1.00,0.13,3.00,10.00,8.00,0.00,0.00,0.00,2,0,-2,14.00
Volkan Oezdemir,Misha Cirkunov,1,4.75,1.21,1,0,4.35,3.00,0.05,0.00,1.00,0.05,0.00,2.00,-2.33,0.00,-1.00,0.00,4.00,4.00,1.43,7.00,0.19,0.56,0.88,0.19,0.00,6.57,-0.71,1.14,1.86,0.43,-1,-2,-2,-4.00
Peter Sobotta,Ben Saunders,1,1.74,2.15,-1,0,2.48,17.00,0.01,0.38,0.97,0.28,0.00,-4.41,-9.65,0.59,1.35,0.18,4.00,3.00,1.99,25.00,0.11,0.17,0.60,-0.22,-0.04,0.72,-2.04,-0.40,-1.52,0.20,-2,-2,-4,-8.00
Alexander Gustafsson,Glover Teixeira,1,1.33,3.5,5,4,2.30,30.00,-0.15,0.32,0.92,0.06,0.20,2.17,12.93,0.40,0.20,0.10,6.00,6.00,1.85,26.00,0.04,0.36,0.86,0.19,0.12,1.42,1.04,0.08,-0.27,0.08,3,3,-8,4.00
Damian Stasiak,Pedro Munhoz,0,5.85,1.15,1,2,2.13,7.00,0.14,0.65,0.33,0.10,0.00,-3.86,-6.57,0.43,1.29,0.00,1.00,3.00,1.89,11.00,0.11,0.25,0.67,-0.03,0.00,-9.00,-16.27,-0.09,0.73,0.45,-1,5,-4,-4.00
Nicholas Musoke,Bojan Velickovic,0,1.77,2.1,1,1,2.46,13.00,-0.06,0.35,0.70,0.28,-0.08,-1.08,1.77,0.23,1.00,0.08,-1.00,0.00,2.05,9.00,-0.14,0.23,0.39,-0.31,0.00,-0.56,5.67,-0.56,-0.44,0.22,0,-1,2,4.00
Chris Camozzi,Trevor Smith,0,1.67,2.3,0,-1,2.96,46.00,0.06,0.10,0.59,-0.12,0.00,3.59,6.54,-0.59,-1.20,0.00,0.00,-2.00,2.84,20.00,0.04,0.21,0.68,0.20,-0.05,4.40,0.85,0.20,0.80,0.15,-1,0,-5,26.00
Damir Hadzovic,Marcin Held,1,3.45,1.34,-1,-1,3.60,1.00,-0.17,0.00,1.00,0.00,-1.00,-14.00,-16.00,0.00,0.00,0.00,-2.00,0.00,1.77,6.00,-0.11,0.50,0.75,-0.08,0.00,-2.17,2.83,0.67,0.67,0.00,0,-1,6,-5.00
Joanna Jedrzejczyk,Jessica Andrade,1,1.53,2.65,7,2,1.76,26.00,0.16,0.21,0.85,-0.18,0.00,20.77,30.19,-0.46,-2.85,-0.04,4.00,0.00,1.93,21.00,0.13,0.57,0.72,0.25,0.00,11.71,13.95,0.43,-0.19,-0.05,5,3,4,5.00
