FIGHTER_A,FIGHTER_B,Result,A Win,B Win,A_WIN_DIFF,A_FINISH_DIFF,A_AVG_ODDS,A_CUMULATIVE_RDS,A_STR_ACCURACY_DIFF,A_AVG_TD_ACCURACY,A_AVG_TD_DEFENCE,A_CTRL_TIME_DIFF,A_KD_PER_RD_DIFF,A_STR_PER_RD_DIFF,A_STR_ATTEMPT_PER_RD_DIFF,A_TD_PER_RD_DIFF,A_TD_ATTEMPT_PER_RD_DIFF,A_SUB_ATTEMPT_PER_RD_DIFF,B_WIN_DIFF,B_FINISH_DIFF,B_AVG_ODDS,B_CUMULATIVE_RDS,B_STR_ACCURACY_DIFF,B_AVG_TD_ACCURACY,B_AVG_TD_DEFENCE,B_CTRL_TIME_DIFF,B_KD_PER_RD_DIFF,B_STR_PER_RD_DIFF,B_STR_ATTEMPT_PER_RD_DIFF,B_TD_PER_RD_DIFF,B_TD_ATTEMPT_PER_RD_DIFF,B_SUB_ATTEMPT_PER_RD_DIFF,A_HEIGHT_DIFF,A_REACH_DIFF,A_AGE_DIFF,A_CUMULATIVE_RDS_DIFF
Shane Roller,John Alessio,1,1.67,2.4,-2,-1,2.10,9.00,-0.12,0.10,0.25,-0.08,-0.11,-3.78,-4.56,-0.22,1.33,-0.11,-1.00,0.00,3.60,3.00,-0.31,0.00,0.55,-0.64,0.00,-13.67,-6.67,-1.67,-3.67,0.00,0,0,0,6.00
Demian Maia,Dong Hyun Kim,1,2.33,1.7,5,4,2.58,32.00,0.03,0.34,0.84,0.21,-0.06,0.28,-0.50,0.53,2.13,0.25,5.00,0.00,1.72,22.00,0.12,0.63,0.77,0.31,0.00,2.64,-0.86,0.86,0.91,-0.05,-1,-4,4,10.00
Patrick Cote,Cung Le,0,1.5,2.85,0,0,1.82,13.00,-0.11,0.17,0.50,-0.12,0.15,-3.77,-2.77,-0.54,-1.00,-0.31,-1.00,-1.00,1.45,2.00,-0.02,0.00,1.00,-0.02,-0.50,-5.50,-11.50,0.00,0.50,0.00,2,5,-8,11.00
Anderson Silva,Chael Sonnen,1,1.36,3.55,11,9,1.26,28.00,0.39,0.27,0.83,-0.11,0.43,6.75,1.57,-0.14,-1.46,0.11,3.00,-1.00,2.58,20.00,0.16,0.55,0.77,0.64,0.00,10.95,17.90,1.05,1.45,-0.35,1,4,2,8.00
Rafaello Oliveira,Yoislandy Izquierdo,1,2.7,1.54,-3,-2,3.30,13.00,-0.01,0.28,0.44,0.14,-0.23,-4.15,-4.77,0.15,1.31,-0.46,-1.00,-1.00,3.30,2.00,-0.44,0.00,0.58,-0.31,0.00,17.50,31.50,-1.50,-2.50,-0.50,-3,71,2,11.00
Tito Ortiz,Forrest Griffin,0,3.7,1.33,-5,-1,4.11,16.00,-0.07,0.23,0.54,-0.09,-0.06,-9.75,-18.50,0.00,1.00,0.31,1.00,-2.00,2.54,19.00,-0.13,0.24,0.68,0.00,-0.26,5.63,22.53,-0.16,-0.74,0.32,0,-3,4,-3.00
Cody McKenzie,Chad Mendes,0,6.7,1.14,0,0,2.72,6.00,-0.15,0.31,0.25,-0.32,0.00,-4.33,-2.33,-0.33,0.83,-0.17,1.00,-1.00,1.85,7.00,0.22,0.47,1.00,0.29,-0.14,8.57,2.29,1.29,2.29,-0.29,6,6,-2,-1.00
Khabib Nurmagomedov,Gleison Tibau,1,2.43,1.65,1,1,1.91,3.00,0.16,0.33,1.00,0.48,0.33,7.33,11.00,1.00,2.33,0.33,4.00,2.00,1.60,30.00,0.03,0.69,0.94,0.30,0.03,-0.50,0.13,1.70,1.77,0.17,0,-1,-5,-27.00
Mike Russow,Fabricio Werdum,0,5.2,1.21,4,2,2.98,11.00,0.07,0.45,1.00,0.45,0.09,-4.55,-17.82,1.55,3.27,0.18,2.00,1.00,1.67,7.00,0.08,0.13,0.81,0.07,-0.14,13.00,18.86,-0.14,0.29,-0.14,-3,-4,1,4.00
Wanderlei Silva,Rich Franklin,0,2.25,1.74,-1,0,2.15,14.00,-0.08,0.29,0.71,0.02,0.21,-0.50,4.14,-0.43,-0.93,0.07,0.00,1.00,1.94,18.00,0.04,0.19,0.54,-0.10,0.00,3.89,5.50,-0.56,-1.33,-0.06,-2,-2,-2,-4.00
Dustin Pague,Ken Stone,0,1.67,2.4,0,0,1.97,2.00,-0.03,0.50,1.00,0.04,-0.50,-9.50,-16.00,0.50,0.50,0.50,0.00,0.00,3.13,2.00,0.07,0.50,0.50,0.31,0.00,4.50,11.50,0.50,0.50,0.50,1,3,-5,0.00
Gray Maynard,Clay Guida,1,1.45,3,6,0,2.04,33.00,0.11,0.54,0.82,0.29,0.15,-1.15,-5.12,0.73,0.42,0.12,4.00,2.00,2.32,31.00,0.04,0.44,0.85,0.35,0.00,-0.81,-2.10,1.00,1.81,-0.06,2,0,2,2.00
Ross Pearson,Cub Swanson,0,1.47,2.95,3,0,1.85,19.00,0.08,0.36,0.74,-0.04,-0.11,6.53,4.32,-0.11,-0.63,-0.05,0.00,0.00,2.38,4.00,0.20,1.00,0.75,-0.08,0.25,4.00,-5.00,0.25,-0.50,0.00,0,-1,-1,15.00
Brian Ebersole,TJ Waldburger,1,1.43,2.9,3,1,2.47,7.00,0.32,0.22,0.67,0.29,0.14,3.14,1.43,0.71,2.29,-1.14,2.00,1.00,2.30,6.00,0.14,0.65,0.84,0.37,-0.17,4.17,7.00,1.33,1.67,0.50,1,-2,8,1.00
Sam Stout,Spencer Fisher,1,1.28,4.2,1,1,1.69,25.00,-0.12,0.17,0.75,-0.08,0.08,2.68,25.84,-0.68,-3.36,-0.28,-1.00,-1.00,2.08,25.00,0.00,0.21,0.66,-0.31,0.04,-0.28,-5.48,-0.80,-2.04,-0.08,2,2,-8,0.00
Ricardo Lamas,Hatsu Hioki,1,2.55,1.61,2,2,1.59,3.00,0.10,0.42,0.50,0.35,0.33,0.67,-3.67,0.67,1.67,0.00,2.00,0.00,1.43,6.00,0.21,0.34,0.50,0.38,0.00,5.00,-3.67,0.33,1.67,0.17,-3,-2,1,-3.00
Matt Brown,Luis Ramos,1,1.65,2.45,2,1,2.41,27.00,0.17,0.46,0.72,-0.14,0.19,3.48,0.89,-0.41,-1.56,0.11,-1.00,-1.00,3.55,1.00,0.13,0.00,1.00,-0.13,-1.00,0.00,-2.00,0.00,0.00,0.00,4,75,0,26.00
Dan Miller,Ricardo Funch,1,1.3,4,0,3,2.55,25.00,-0.12,0.24,0.57,-0.04,0.00,-4.04,-0.92,-0.04,0.00,0.16,-3.00,-2.00,4.35,6.00,0.03,0.05,0.67,-0.33,-0.17,-8.33,-14.33,-1.17,-1.33,-1.00,3,0,-1,19.00
Chris Camozzi,Nick Catone,1,2.9,1.48,1,0,1.96,13.00,0.07,0.00,0.48,0.10,-0.08,3.15,1.54,-0.69,-0.23,0.08,1.00,0.00,1.48,13.00,0.05,0.62,0.94,0.34,0.00,1.69,-3.62,0.92,0.85,-0.46,2,3,-5,0.00
Mike Pierce,Carlos Eduardo Rocha,1,1.43,2.9,2,2,1.85,23.00,0.10,0.41,0.85,0.38,0.04,3.22,3.70,0.61,0.87,0.09,0.00,1.00,2.75,4.00,0.04,0.00,0.20,-0.17,0.00,-1.25,-1.00,-1.25,-0.50,0.75,-2,-2,1,19.00
Tim Means,Justin Salas,1,1.77,2.2,1,0,2.15,3.00,0.08,0.00,1.00,0.06,0.00,18.33,34.00,0.00,-3.67,0.00,1.00,0.00,1.71,3.00,0.12,0.26,1.00,0.28,0.00,4.00,-1.33,1.33,5.00,0.00,6,5,-2,0.00
Lance Benoist,Seth Baczynski,0,1.95,1.95,1,0,2.75,3.00,0.08,0.33,0.00,-0.14,0.00,4.33,5.00,-1.00,-0.33,0.00,1.00,2.00,2.24,7.00,-0.10,0.07,0.50,0.02,0.14,4.43,15.00,-0.43,0.29,0.71,-4,-3,-7,-4.00
Dustin Pague,Jared Papazian,1,2.5,1.63,-1,-1,1.44,1.00,-0.32,0.00,1.00,-0.68,-1.00,-18.00,-24.00,0.00,0.00,0.00,-1.00,0.00,4.80,3.00,-0.15,0.00,0.67,0.05,0.00,-5.67,5.00,-0.33,0.00,0.00,1,7,1,-2.00
Ian McCall,Demetrious Johnson,0,2,1.91,-1,0,3.95,3.00,-0.09,0.44,1.00,0.20,0.00,-4.67,-0.33,1.33,1.67,0.00,2.00,0.00,2.65,14.00,0.03,0.46,0.76,-0.02,0.00,3.00,7.07,0.14,-0.07,-0.29,2,-2,2,-11.00
Erick Silva,Charlie Brenneman,1,1.54,2.7,0,1,1.28,2.00,0.34,0.00,1.00,0.13,0.50,4.00,6.00,0.00,-1.00,0.00,2.00,-2.00,2.93,15.00,0.08,0.41,0.92,0.33,-0.20,1.20,0.33,1.07,2.00,-0.67,2,4,-3,-13.00
Leonard Garcia,Matt Grice,0,1.8,2.15,-2,-1,2.24,11.00,-0.13,0.17,0.50,-0.26,0.09,-12.00,5.55,-0.09,0.18,-1.09,-2.00,-3.00,2.45,6.00,0.10,0.25,0.59,0.06,0.00,7.33,11.33,0.00,-0.67,-1.33,2,-2,2,5.00
Josh Neer,Mike Pyle,0,2.75,1.53,1,3,1.50,17.00,0.02,0.23,0.68,-0.11,-0.06,5.71,6.82,-0.76,-1.35,0.47,2.00,0.00,2.83,17.00,0.01,0.19,0.56,-0.14,0.06,-0.24,-3.88,0.24,0.35,0.24,-1,-2,-8,0.00
Sean Pierson,Jake Hecht,1,2.45,1.65,-1,-1,3.37,7.00,-0.04,0.11,0.50,0.05,-0.14,7.14,-1.86,-0.29,-0.29,0.00,0.00,0.00,2.65,3.00,-0.26,0.00,0.25,-0.34,0.00,5.00,7.33,-0.67,-0.67,-0.33,0,3,8,4.00
Henry Martinez,Bernardo Magalhaes,1,1.43,3.1,-1,0,4.28,3.00,-0.07,0.00,0.34,-0.16,0.00,-2.33,3.67,-0.67,-0.67,0.00,-1.00,0.00,1.80,3.00,-0.08,0.00,1.00,-0.06,0.00,-18.33,-34.00,0.00,3.67,0.00,-2,69,-2,0.00
Scott Jorgensen,Eddie Wineland,0,1.63,2.5,1,1,1.80,7.00,0.07,0.67,1.00,0.19,0.00,-4.71,-18.57,0.86,1.43,-0.14,-2.00,0.00,4.10,6.00,-0.21,0.17,0.91,-0.11,0.00,-13.33,-18.67,-0.17,-2.17,0.00,-2,-3,2,1.00
Charles Oliveira,Jonathan Brookins,1,1.5,2.85,1,1,1.70,9.00,0.23,0.29,0.62,-0.23,0.11,3.33,2.22,0.00,0.33,0.44,1.00,1.00,1.96,7.00,0.08,0.43,1.00,0.39,-0.14,-0.57,-4.86,0.71,4.71,0.00,-2,0,-4,2.00
Martin Kampmann,Jake Ellenberger,1,2.67,1.56,3,2,2.33,24.00,0.00,0.25,0.76,0.18,0.08,-0.33,-1.96,-0.08,-0.96,0.58,5.00,4.00,1.58,16.00,0.14,0.62,0.93,0.24,0.38,5.19,4.44,0.94,1.00,-0.13,3,1,3,8.00
Max Holloway,Pat Schilling,1,1.71,2.3,-1,-1,5.45,1.00,-0.10,0.00,0.67,-0.40,0.00,0.00,7.00,-1.00,-3.00,-3.00,-1.00,-1.00,2.30,1.00,-0.22,0.00,0.00,-0.46,0.00,-15.00,-17.00,-1.00,-1.00,-1.00,3,69,-3,0.00
Roy Nelson,Dave Herman,1,1.62,2.52,0,3,2.28,14.00,-0.09,0.25,0.79,0.14,0.07,-12.50,-17.79,-0.29,0.00,0.07,0.00,0.00,1.80,4.00,0.10,0.50,0.38,-0.12,0.00,6.25,4.75,-0.25,-1.00,0.00,-4,-4,8,10.00
Jacob Volkmann,Paul Sass,0,1.53,2.75,3,-1,2.14,19.00,-0.08,0.48,0.75,0.20,-0.16,-1.47,-0.89,0.63,0.89,0.32,2.00,2.00,2.09,2.00,0.01,0.00,1.00,-0.44,0.00,-3.50,-8.00,0.00,2.50,3.50,-3,-2,8,17.00
Frank Mir,Junior Dos Santos,0,5.2,1.21,5,4,1.62,15.00,0.02,0.36,0.78,-0.14,0.27,-3.67,-2.80,0.47,0.53,0.33,8.00,6.00,1.62,14.00,0.13,0.19,0.83,0.04,0.57,17.29,31.64,0.07,-0.64,0.00,-1,2,5,1.00
Dan Hardy,Duane Ludwig,1,1.77,2.2,0,-1,3.17,22.00,-0.18,0.22,0.64,-0.20,0.00,-5.73,-0.36,-0.77,-0.95,-0.45,-1.00,-3.00,3.13,9.00,0.03,0.10,0.75,-0.12,-0.33,9.22,25.11,-0.33,-1.33,-0.22,2,4,-4,13.00
Lavar Johnson,Stefan Struve,0,2.2,1.77,2,2,2.50,2.00,0.13,0.00,1.00,-0.07,1.00,33.50,35.00,0.00,-2.00,-0.50,4.00,3.00,2.33,16.00,-0.02,0.30,0.60,-0.22,-0.19,-2.38,-4.63,-0.06,0.00,0.81,-7,-2,11,-14.00
Darren Elkins,Diego Brandao,1,3.4,1.38,2,0,2.59,8.00,-0.18,0.48,0.88,0.39,0.00,4.25,21.88,0.38,1.38,-0.25,1.00,1.00,1.31,1.00,0.17,1.00,0.00,-0.12,0.00,-6.00,-39.00,0.00,0.00,1.00,3,7,3,7.00
Daniel Pineda,Mike Brown,0,2.08,1.85,2,2,2.03,2.00,0.07,0.50,1.00,0.23,0.50,10.00,13.00,0.50,0.50,1.50,-1.00,0.00,1.40,9.00,-0.01,0.51,0.91,0.16,0.00,0.00,-2.00,0.78,2.56,-0.22,1,-1,-10,-7.00
CB Dollaway,Jason Miller,1,2.45,1.65,1,-1,1.80,14.00,-0.02,0.53,0.85,0.20,-0.14,-0.50,-1.29,1.07,1.50,-0.14,-1.00,-1.00,2.77,3.00,-0.30,0.09,1.00,-0.05,0.00,-25.00,-24.33,0.33,3.67,0.00,1,76,-3,11.00
Amir Sadollah,Jorge Lopez,1,1.95,1.95,2,1,1.51,19.00,0.00,0.25,0.63,-0.17,-0.05,8.79,7.68,-0.37,-0.63,0.11,-1.00,0.00,1.26,3.00,0.11,1.00,0.85,0.16,0.00,0.33,-3.33,0.33,-3.33,-0.67,0,75,8,16.00
Fabio Maldonado,Igor Pokrajac,0,1.71,2.3,0,1,2.04,6.00,0.14,0.50,0.83,0.07,0.17,3.83,-3.83,-0.50,-2.00,0.67,0.00,2.00,2.59,12.00,-0.02,0.28,0.68,-0.30,0.33,-1.58,-1.75,-0.58,-1.17,-0.17,1,1,-1,-6.00
Brad Tavares,Dongi Yang,1,1.63,2.5,1,1,1.95,7.00,-0.07,0.25,0.96,-0.09,0.00,-3.29,-4.00,0.29,-0.57,-0.86,-1.00,1.00,2.00,8.00,0.25,0.70,0.57,0.29,0.25,2.63,-5.38,0.25,-0.13,0.13,3,1,-3,-1.00
Carlo Prater,TJ Grant,0,4.8,1.23,1,0,5.55,1.00,-0.80,0.00,1.00,-0.14,0.00,-8.00,-10.00,0.00,2.00,0.00,1.00,2.00,2.66,19.00,0.07,0.42,0.45,-0.17,0.00,0.05,-2.79,-0.53,-0.21,0.00,1,0,3,-18.00
Jeremy Stephens,Donald Cerrone,0,3,1.45,2,3,2.17,32.00,0.09,0.44,0.72,-0.05,0.19,2.63,0.72,-0.06,-0.22,-0.25,3.00,3.00,1.49,10.00,0.04,0.15,0.97,0.04,0.20,-7.00,-10.90,0.20,-0.60,0.00,-4,-2,-3,22.00
Jason MacDonald,Tom Lawlor,0,3,1.45,-3,-2,2.44,15.00,0.08,0.19,0.57,-0.19,-0.07,-4.60,-9.13,-0.13,0.93,-0.13,0.00,-1.00,2.57,13.00,0.03,0.23,0.78,0.04,0.08,4.54,5.23,0.77,1.92,0.31,3,6,8,2.00
Dustin Poirier,Chan Sung Jung,0,1.29,3.9,4,2,1.86,9.00,0.09,0.47,0.95,0.36,0.00,9.33,10.67,0.56,0.22,0.11,2.00,2.00,3.78,3.00,0.36,0.25,1.00,0.35,0.33,7.00,7.33,0.33,0.33,0.33,2,0,-2,6.00
Rafael Dos Anjos,Kamal Shalorus,1,1.27,4.28,0,0,2.36,21.00,0.03,0.29,0.87,0.13,0.00,-1.19,-4.86,0.43,1.29,0.33,-2.00,-2.00,2.68,6.00,-0.14,0.17,0.33,-0.34,-0.33,-6.50,-5.67,-0.50,-0.83,-0.50,0,2,-12,15.00
Francisco Rivera,Alex Soto,1,1.43,3.15,-1,-1,2.90,3.00,-0.01,0.00,0.60,-0.50,0.00,-6.67,-11.00,-0.67,-1.33,0.33,-1.00,-1.00,4.65,1.00,0.25,0.00,1.00,-0.13,-2.00,-6.00,-16.00,0.00,0.00,0.00,0,70,3,2.00
Jeff Hougland,Yves Jabouin,0,3.75,1.33,1,0,2.60,3.00,0.15,0.20,1.00,-0.17,0.00,10.00,11.00,0.33,1.67,0.67,1.00,-1.00,1.99,7.00,0.00,0.22,0.86,-0.01,0.00,-2.86,-11.43,0.14,0.43,-0.57,0,0,1,-4.00
Johnny Eduardo,Jeff Curran,1,1.83,2.1,-1,0,2.45,3.00,-0.20,0.00,0.63,-0.32,0.00,-8.33,-5.33,-1.00,-2.67,0.33,-1.00,0.00,4.65,3.00,-0.08,0.00,0.00,-0.48,0.00,-0.33,7.67,-1.67,-0.67,0.33,1,2,-1,0.00
Dennis Bermudez,Pablo Garza,1,1.91,2,-1,-1,3.90,1.00,-0.17,1.00,0.00,0.12,0.00,6.00,39.00,0.00,0.00,-1.00,1.00,1.00,2.73,4.00,-0.14,0.00,0.67,-0.16,0.25,2.25,1.00,-0.25,0.50,0.25,-7,-7,-3,-3.00
Roland Delorme,Nick Denis,1,3.4,1.36,1,1,1.95,3.00,0.09,0.40,1.00,-0.34,0.33,0.67,-1.67,0.67,1.33,0.67,1.00,1.00,1.36,1.00,-0.27,0.00,1.00,0.05,1.00,8.00,19.00,0.00,0.00,0.00,2,71,0,2.00
Tony Ferguson,Michael Johnson,0,1.32,3.85,3,2,1.48,5.00,0.15,0.55,1.00,0.11,0.20,9.00,19.20,0.60,0.20,0.20,0.00,0.00,2.23,8.00,0.01,0.50,0.92,-0.04,0.25,2.75,9.88,-0.25,-3.13,-0.38,1,3,2,-3.00
Alan Belcher,Rousimar Palhares,1,2.9,1.48,4,4,1.60,15.00,0.05,0.25,0.61,0.08,0.13,1.73,-5.27,-0.80,-1.80,-0.13,5.00,4.00,1.77,17.00,0.03,0.37,0.67,0.20,-0.06,0.35,-4.00,0.53,1.82,0.53,6,4,-4,-2.00
John Hathaway,Pascal Krauss,1,1.54,2.7,4,1,1.81,16.00,0.11,0.41,0.68,0.24,0.06,8.13,17.06,0.25,0.06,0.00,1.00,0.00,1.43,3.00,0.16,0.75,0.25,0.32,0.00,5.67,1.33,0.00,0.00,0.00,0,75,0,13.00
Mike Massenzio,Karlos Vemola,0,1.77,2.1,-2,-2,3.22,12.00,-0.22,0.29,0.83,0.07,0.08,-6.50,-13.92,0.67,3.00,0.00,-1.00,1.00,1.67,7.00,-0.21,0.33,0.42,-0.20,0.00,-5.43,-1.00,-1.00,-0.14,0.00,2,-2,3,5.00
Johny Hendricks,Josh Koscheck,1,1.75,2.23,6,4,1.69,17.00,0.28,0.27,0.84,0.13,0.29,2.06,-0.18,0.94,1.24,0.24,4.00,4.00,2.23,28.00,0.05,0.32,0.86,0.13,0.00,-4.25,-8.46,0.21,0.46,-0.36,-1,-4,-6,-11.00
John Cholish,Danny Castillo,0,1.67,2.4,1,1,1.29,2.00,0.56,0.16,1.00,0.27,0.00,19.00,-25.50,0.50,1.50,0.00,2.00,1.00,1.73,10.00,0.13,0.51,0.77,0.31,0.00,6.70,7.50,1.00,2.30,-1.10,2,3,-4,-8.00
Pat Barry,Lavar Johnson,0,1.67,2.4,0,-1,1.82,14.00,0.23,0.00,0.79,-0.12,0.36,-0.79,-11.64,-0.21,-1.07,-0.36,1.00,1.00,2.60,1.00,0.40,0.00,1.00,0.23,1.00,43.00,21.00,0.00,-3.00,0.00,-5,-8,-2,13.00
Nate Diaz,Jim Miller,1,2.5,1.63,5,8,2.06,34.00,0.04,0.37,0.58,-0.12,0.03,7.53,15.56,-0.62,-0.47,0.26,8.00,6.00,1.69,29.00,-0.02,0.43,0.67,0.19,0.10,1.52,3.45,0.03,0.41,0.76,4,5,-2,5.00
Anthony Njokuani,John Makdessi,1,1.45,3,-1,0,2.53,9.00,0.16,0.55,0.56,-0.16,0.00,15.33,17.89,-0.56,-1.67,0.11,1.00,0.00,1.83,7.00,0.06,0.00,0.72,-0.31,0.29,8.57,-15.71,-0.29,-1.14,-0.14,5,7,5,2.00
Miguel Torres,Michael McDonald,0,1.95,1.95,1,0,1.46,9.00,0.12,0.00,0.56,-0.09,0.00,10.33,11.33,-0.67,-0.67,0.33,3.00,1.00,1.24,7.00,-0.09,0.50,0.92,0.06,0.29,0.00,1.00,0.71,0.43,0.43,0,6,10,2.00
Brendan Schaub,Ben Rothwell,0,1.47,2.95,2,1,1.55,10.00,0.12,0.08,0.92,0.03,0.20,6.70,19.30,0.30,0.10,-0.10,-1.00,-1.00,1.99,8.00,-0.18,0.28,0.50,-0.11,0.00,-9.50,-13.50,0.00,1.38,-0.13,0,0,-2,2.00
Che Mills,Rory MacDonald,0,6.4,1.15,1,1,1.39,1.00,0.59,0.00,1.00,0.18,2.00,10.00,6.00,0.00,-1.00,0.00,2.00,1.00,1.63,8.00,0.14,0.43,0.88,0.24,0.00,-0.50,-5.25,1.25,0.63,0.38,1,0,7,-7.00
Jon Jones,Rashad Evans,1,1.2,5.4,8,7,1.30,22.00,0.25,0.66,1.00,0.34,0.14,10.32,13.32,0.95,0.95,0.32,7.00,2.00,1.59,26.00,0.00,0.45,0.72,0.21,-0.12,0.12,-2.42,0.62,1.27,-0.08,4,9,-8,-4.00
Efrain Escudero,Mac Danzig,0,2.25,1.74,0,-1,2.12,16.00,0.05,0.31,0.78,0.00,0.19,1.88,2.63,0.00,-0.63,0.00,-1.00,1.00,2.73,20.00,0.08,0.41,0.78,-0.02,0.15,0.05,-4.10,-0.60,-1.05,-0.15,1,1,-6,-4.00
Matt Brown,Stephen Thompson,1,3,1.45,1,1,2.31,24.00,0.19,0.46,0.69,-0.20,0.21,5.21,3.33,-0.67,-2.29,0.08,1.00,1.00,1.31,1.00,0.22,0.00,1.00,0.00,1.00,14.00,16.00,0.00,0.00,0.00,0,0,2,23.00
Mark Hominick,Eddie Yagin,0,1.21,5.23,-1,0,2.64,7.00,-0.15,0.17,0.82,-0.18,0.00,-4.57,-8.43,-0.57,-1.14,-0.14,-1.00,0.00,1.74,3.00,-0.32,0.00,0.63,-0.46,0.00,-17.67,-21.33,-1.00,-2.67,0.67,1,68,-3,4.00
Eric Wisely,Jason Young,0,2.6,1.59,-1,-1,5.75,1.00,0.00,0.00,0.00,-0.28,0.00,-4.00,-8.00,-1.00,-1.00,-2.00,-2.00,0.00,3.33,6.00,-0.16,0.33,0.52,-0.37,0.00,-2.17,11.83,-1.17,-2.67,-0.50,-1,-73,2,-5.00
Diego Nunes,Dennis Siver,0,1.54,2.7,1,0,2.44,9.00,0.02,0.33,0.73,-0.18,0.11,1.00,2.44,-0.89,-4.33,-0.11,4.00,3.00,2.81,26.00,-0.04,0.16,0.66,-0.05,0.08,3.81,16.81,-0.27,-0.85,-0.19,0,-3,-3,-17.00
John Maguire,DaMarques Johnson,1,1.54,2.7,1,0,2.20,3.00,0.27,0.66,1.00,0.49,-0.33,-0.33,-8.67,2.00,2.33,0.33,1.00,1.00,2.32,11.00,-0.13,0.21,0.42,-0.09,0.18,-9.36,-14.36,-0.82,-0.82,-0.82,-4,-6,-1,-8.00
Brad Pickett,Damacio Page,1,1.36,3.55,-1,-1,2.15,1.00,-0.20,0.00,1.00,-0.18,-1.00,-27.00,-42.00,0.00,-1.00,-1.00,-1.00,-1.00,3.55,1.00,0.04,0.00,0.00,0.05,0.00,-2.00,-12.00,-1.00,-1.00,-1.00,0,2,4,0.00
Thiago Silva,Alexander Gustafsson,0,3.4,1.38,2,3,1.74,12.00,0.17,0.29,0.55,0.15,-0.08,5.83,4.25,-0.75,-1.17,0.25,4.00,4.00,2.08,8.00,-0.26,0.19,0.93,-0.05,0.50,3.75,13.38,0.13,-1.13,0.50,-3,-5,5,4.00
Brian Stann,Alessio Sakara,1,1.26,4.4,2,1,2.57,18.00,0.02,0.00,0.57,-0.19,0.28,3.33,5.50,-1.17,-1.94,-0.28,1.00,1.00,2.37,11.00,0.06,0.07,0.79,-0.22,0.00,-2.64,-7.09,-0.91,-2.36,0.00,1,2,1,7.00
James Head,Papy Abedi,1,2.7,1.54,-1,-1,2.10,3.00,-0.06,0.00,0.00,-0.63,0.33,-9.33,-14.00,-1.67,-1.67,-0.33,-1.00,-1.00,4.05,1.00,-0.19,0.00,1.00,0.04,-1.00,-11.00,-7.00,0.00,0.00,-1.00,2,73,-6,2.00
Constantinos Philippou,Court McGee,1,2.15,1.8,1,1,2.55,7.00,0.09,0.55,0.71,-0.11,0.57,2.00,2.29,-0.14,-1.00,0.29,3.00,2.00,1.47,8.00,0.01,0.50,0.72,0.23,-0.25,4.88,15.25,0.88,1.63,0.38,0,-2,5,-1.00
Aaron Rosa,James Te Huna,0,4.15,1.29,0,-1,1.79,6.00,0.02,0.00,0.83,-0.43,0.00,4.17,8.50,-0.33,-2.17,0.00,1.00,1.00,2.78,5.00,0.41,0.25,0.67,0.40,-0.20,0.80,-0.20,0.60,1.00,-0.20,2,2,-2,1.00
TJ Waldburger,Jake Hecht,1,1.71,2.2,1,0,2.49,5.00,-0.02,0.53,0.78,0.47,-0.20,4.80,8.80,1.40,1.80,0.40,1.00,1.00,3.10,2.00,0.07,0.00,0.50,-0.62,0.00,8.00,10.00,-0.50,-0.50,0.00,-1,2,-4,3.00
Cole Miller,Steven Siler,0,1.22,5.1,4,4,1.96,19.00,-0.10,0.13,0.50,-0.09,0.00,-3.89,-1.05,-0.21,0.00,1.00,1.00,0.00,1.63,3.00,-0.15,0.00,0.34,-0.49,0.00,9.67,23.67,-1.33,-1.67,0.67,2,3,3,16.00
Daniel Pineda,Mackens Semerzier,1,2.35,1.69,1,1,1.71,1.00,0.22,1.00,1.00,0.46,0.00,15.00,17.00,1.00,1.00,1.00,1.00,1.00,1.71,4.00,0.38,0.40,1.00,0.61,-0.50,4.50,-1.00,1.00,2.50,0.25,-2,-3,-5,-3.00
Thiago Alves,Martin Kampmann,0,1.69,2.35,4,5,1.46,26.00,0.03,0.23,0.64,-0.23,0.23,2.65,5.31,-0.92,-2.08,0.00,2.00,1.00,2.33,21.00,0.01,0.27,0.80,0.20,0.10,0.33,-2.24,-0.05,-1.29,0.62,-3,-2,-1,5.00
Takeya Mizugaki,Chris Cariaso,0,1.34,3.6,1,1,2.25,8.00,-0.07,0.67,0.67,0.01,0.25,0.25,3.75,0.50,0.25,0.00,1.00,0.00,2.57,9.00,0.03,0.30,0.69,0.02,0.00,4.44,7.33,-0.22,-0.11,-0.11,4,5,-2,-1.00
Cheick Kongo,Mark Hunt,0,1.36,3.55,5,4,1.63,24.00,0.15,0.57,0.72,0.23,-0.04,9.67,13.50,0.42,0.29,-0.21,1.00,0.00,2.99,6.00,0.15,0.50,0.87,0.19,0.17,5.83,9.17,0.00,-2.50,-0.17,6,10,-1,18.00
Benson Henderson,Frankie Edgar,1,2.2,1.77,3,0,1.88,9.00,0.16,0.68,0.81,0.36,0.11,13.89,25.44,0.67,-0.22,-1.11,8.00,3.00,3.71,34.00,0.17,0.26,0.76,0.18,-0.09,8.09,7.12,0.26,0.97,0.06,3,2,-2,-25.00
Yoshihiro Akiyama,Jake Shields,0,4.15,1.29,-2,-2,2.77,10.00,-0.18,0.44,1.00,0.16,-0.30,-11.90,-14.30,0.80,0.50,-0.30,-1.00,-1.00,2.79,9.00,-0.25,0.09,0.78,0.11,-0.11,-2.78,16.11,0.22,2.11,-0.33,-2,3,4,1.00
